<DATE>;<CLOSE>
05.02.2020;6550.5000000
06.02.2020;6506.5000000
07.02.2020;6450.5000000
10.02.2020;6410.0000000
11.02.2020;6397.5000000
12.02.2020;6466.0000000
13.02.2020;6470.5000000
14.02.2020;6451.0000000
17.02.2020;6463.0000000
18.02.2020;6378.5000000
19.02.2020;6509.0000000
20.02.2020;6543.5000000
21.02.2020;6450.0000000
25.02.2020;6165.0000000
26.02.2020;6256.5000000
27.02.2020;6000.0000000
28.02.2020;5699.5000000
02.03.2020;5550.0000000
03.03.2020;5782.0000000
04.03.2020;5908.5000000
05.03.2020;5862.5000000
06.03.2020;5592.0000000
10.03.2020;4549.0000000
11.03.2020;4908.0000000
12.03.2020;4511.5000000
13.03.2020;4414.0000000
16.03.2020;4251.0000000
17.03.2020;4168.5000000
18.03.2020;3754.0000000
19.03.2020;4333.0000000
20.03.2020;4472.5000000
23.03.2020;4175.5000000
24.03.2020;4494.0000000
25.03.2020;4590.0000000
26.03.2020;4700.0000000
27.03.2020;4430.0000000
30.03.2020;4459.0000000
31.03.2020;4715.0000000
01.04.2020;4674.5000000
02.04.2020;5050.0000000
03.04.2020;5204.5000000
06.04.2020;5163.0000000
07.04.2020;5118.0000000
08.04.2020;5140.0000000
09.04.2020;5201.0000000
10.04.2020;5130.0000000
13.04.2020;5040.0000000
14.04.2020;4844.0000000
15.04.2020;4484.0000000
16.04.2020;4561.5000000
17.04.2020;4620.0000000
20.04.2020;4522.5000000
21.04.2020;4475.0000000
22.04.2020;4810.5000000
23.04.2020;4902.5000000
24.04.2020;4745.5000000
27.04.2020;4650.0000000
28.04.2020;4738.5000000
29.04.2020;4897.0000000
30.04.2020;4826.5000000
04.05.2020;4848.5000000
05.05.2020;4975.0000000
06.05.2020;4857.5000000
07.05.2020;4839.0000000
08.05.2020;4832.0000000
12.05.2020;4897.5000000
13.05.2020;4819.0000000
14.05.2020;4870.0000000
15.05.2020;4874.5000000
18.05.2020;5170.5000000
19.05.2020;5272.0000000
20.05.2020;5450.0000000
21.05.2020;5286.0000000
22.05.2020;5317.0000000
25.05.2020;5412.5000000
26.05.2020;5445.0000000
27.05.2020;5352.5000000
28.05.2020;5392.0000000
29.05.2020;5242.5000000
01.06.2020;5318.0000000
02.06.2020;5400.0000000
03.06.2020;5549.5000000
04.06.2020;5430.0000000
05.06.2020;5460.0000000
08.06.2020;5372.0000000
09.06.2020;5425.0000000
10.06.2020;5342.0000000
11.06.2020;5350.0000000
15.06.2020;5264.0000000
16.06.2020;5392.0000000
17.06.2020;5343.0000000
18.06.2020;5347.0000000
19.06.2020;5460.0000000
22.06.2020;5469.0000000
23.06.2020;5452.0000000
25.06.2020;5394.0000000
26.06.2020;5321.5000000
29.06.2020;5315.0000000
30.06.2020;5313.0000000
02.07.2020;5416.0000000
03.07.2020;5416.5000000
06.07.2020;5483.5000000
07.07.2020;5464.0000000
08.07.2020;5457.0000000
09.07.2020;5087.0000000
10.07.2020;5098.0000000
13.07.2020;4926.5000000
14.07.2020;4884.0000000
15.07.2020;4949.5000000
16.07.2020;4944.5000000
17.07.2020;4946.5000000
20.07.2020;4937.0000000
21.07.2020;4953.0000000
22.07.2020;5037.0000000
23.07.2020;4974.0000000
24.07.2020;4987.0000000
27.07.2020;5013.5000000
28.07.2020;5023.0000000
29.07.2020;5184.5000000
30.07.2020;5115.0000000
31.07.2020;5087.5000000
03.08.2020;5037.0000000
04.08.2020;5038.5000000
05.08.2020;5136.0000000
06.08.2020;5130.0000000
07.08.2020;5088.0000000
10.08.2020;5112.0000000
11.08.2020;5170.0000000
12.08.2020;5303.0000000
13.08.2020;5312.0000000
14.08.2020;5284.5000000
17.08.2020;5281.5000000
18.08.2020;5268.5000000
19.08.2020;5246.5000000
20.08.2020;5137.5000000
21.08.2020;5092.5000000
24.08.2020;5186.0000000
25.08.2020;5220.0000000
26.08.2020;5278.0000000
27.08.2020;5174.0000000
28.08.2020;5082.0000000
31.08.2020;4991.0000000
01.09.2020;4949.0000000
02.09.2020;4852.0000000
03.09.2020;4814.0000000
04.09.2020;4858.0000000
07.09.2020;4795.0000000
08.09.2020;4719.5000000
09.09.2020;4709.0000000
10.09.2020;4661.0000000
11.09.2020;4725.5000000
14.09.2020;4752.5000000
15.09.2020;4876.0000000
16.09.2020;4863.5000000
17.09.2020;4793.5000000
18.09.2020;4677.0000000
21.09.2020;4511.0000000
22.09.2020;4529.0000000
23.09.2020;4456.0000000
24.09.2020;4563.0000000
25.09.2020;4560.0000000
28.09.2020;4627.0000000
29.09.2020;4508.5000000
30.09.2020;4470.0000000
01.10.2020;4408.5000000
02.10.2020;4379.0000000
05.10.2020;4479.0000000
06.10.2020;4519.5000000
07.10.2020;4474.0000000
08.10.2020;4498.0000000
09.10.2020;4451.5000000
12.10.2020;4445.0000000
13.10.2020;4374.5000000
14.10.2020;4364.5000000
15.10.2020;4271.0000000
16.10.2020;4253.0000000
19.10.2020;4194.0000000
20.10.2020;4270.0000000
21.10.2020;4211.5000000
22.10.2020;4307.5000000
23.10.2020;4325.0000000
26.10.2020;4223.0000000
27.10.2020;4123.5000000
28.10.2020;4012.5000000
29.10.2020;4057.5000000
30.10.2020;4050.0000000
02.11.2020;4162.0000000
03.11.2020;4252.0000000
05.11.2020;4321.5000000
06.11.2020;4396.0000000
09.11.2020;4755.0000000
10.11.2020;4884.5000000
11.11.2020;4945.0000000
12.11.2020;4853.0000000
13.11.2020;4879.0000000
16.11.2020;4932.5000000
17.11.2020;4864.0000000
18.11.2020;4890.0000000
19.11.2020;4916.0000000
20.11.2020;4948.5000000
23.11.2020;5026.5000000
24.11.2020;5179.5000000
25.11.2020;5392.5000000
26.11.2020;5243.0000000
27.11.2020;5260.0000000
30.11.2020;5063.0000000
01.12.2020;5058.5000000
02.12.2020;5167.0000000
03.12.2020;5053.0000000
04.12.2020;5122.0000000
07.12.2020;5039.5000000
08.12.2020;4994.0000000
09.12.2020;5023.0000000
10.12.2020;5287.0000000
11.12.2020;5380.0000000
14.12.2020;5325.0000000
15.12.2020;5297.5000000
16.12.2020;5174.0000000
17.12.2020;5188.0000000
18.12.2020;5140.0000000
21.12.2020;5095.5000000
22.12.2020;5073.0000000
23.12.2020;5107.0000000
24.12.2020;5105.5000000
25.12.2020;5106.0000000
28.12.2020;5101.5000000
29.12.2020;5143.0000000
30.12.2020;5169.5000000
04.01.2021;5212.5000000
05.01.2021;5358.5000000
06.01.2021;5376.5000000
08.01.2021;5556.5000000
11.01.2021;5599.0000000
12.01.2021;5721.0000000
13.01.2021;5755.0000000
14.01.2021;5937.0000000
15.01.2021;5888.5000000
18.01.2021;5873.0000000
19.01.2021;5892.0000000
20.01.2021;5864.0000000
21.01.2021;5771.0000000
22.01.2021;5740.5000000
25.01.2021;5722.0000000
26.01.2021;5595.5000000
27.01.2021;5499.5000000
28.01.2021;5575.0000000
29.01.2021;5377.0000000
01.02.2021;5406.0000000
02.02.2021;5516.0000000
03.02.2021;5555.0000000
04.02.2021;5699.5000000
05.02.2021;5715.0000000
